
Baylor,120.546,108.512,0.770211,11-9,11,20,53.8,50.3,37.8,28.2,16.5,15.5,38.4,32.3,68.2695,54.1,49,35.5,35.1,0,0,53.8,47.3,39.4,35,68.2695,,,,2026,,,,-1.20403,71.6,
"Oral Roberts",100.021,115.216,0.16431,5-17,5,22,48.6,55,35.8,39.9,19.5,15.6,27.2,34.9,66.8295,50.3,53.3,31,38.7,0,0,46.6,44.8,46,35.8,66.8295,,,,2026,,,,-12.5411,73.8,
Ohio,104.705,110.629,0.34685,11-11,11,22,50.3,52.3,36.9,36.7,17.3,17.9,29,34.5,69.1698,54.3,51.7,29.1,35.6,0,0,43.6,48.1,37.8,35.1,69.1698,,,,2026,,,,-6.67237,69.6,
Winthrop,111.987,111.349,0.516408,15-8,15,23,50.3,51.9,42.1,37.9,14.2,17.3,34.8,29.1,68.3558,50.1,53,33.7,33.6,0,0,52.4,45.8,43.9,42.5,68.3558,,,,2026,,,,-3.50615,72.3,
"Northern Illinois",99.7749,112.425,0.202172,7-13,7,20,48.5,54.4,39.3,42,22.4,17.6,35.2,31.9,66.9125,49.1,56.9,31.9,33.6,0,0,51.3,52,46,38.3,66.9125,,,,2026,,,,-9.14281,66.7,
"Georgia Tech",108.398,105.112,0.587598,11-10,11,21,50.4,46.9,36.2,33.8,18.9,15.7,31.5,29.5,70.3076,48.9,47.7,35.8,30.6,0,0,61.9,56.4,31.4,43.8,70.3076,,,,2026,,,,-4.14925,68.9,
"Kent St.",111.912,109.024,0.574605,16-5,16,21,53.5,52.5,45.6,38.9,19.4,15.8,36.1,29.2,71.3112,53.5,51.8,35.6,35.6,0,0,58.4,56.6,44.9,42.7,71.3112,,,,2026,,,,-1.63181,75.6,
"High Point",118.622,110.687,0.68915,18-4,18,22,56.2,51,43.7,35.1,12.7,21.6,31.7,31.1,69.2612,58,52.2,35.8,32.8,0,0,54.4,52.7,42.5,41.8,69.2612,,,,2026,,,,-1.96056,72.3,
"Weber St.",110.108,112.368,0.441832,10-11,10,21,51.6,52.7,41.5,37.8,16.6,17.3,32.2,29.5,68.9835,50.6,56.3,35.8,31.3,0,0,49.1,47.9,33.2,38.2,68.9835,,,,2026,,,,-6.98298,70.1,
Maine,91.406,111.264,0.0944215,5-17,5,22,48.2,49.6,35.6,34,20.4,18.9,22.6,35.2,63.9408,50,52.4,29.9,29.8,0,0,51.9,53.3,35.6,36.4,63.9408,,,,2026,,,,-13.784,64.7,
Radford,108.136,116.595,0.296054,11-11,11,22,51.7,54,41.9,43.6,17.1,18,29.3,32.5,70.7881,53.8,52.7,33,37.4,0,0,47.2,55.2,47.5,39.4,70.7881,,,,2026,,,,-7.41955,71.9,
Kansas,121.934,94.9165,0.946878,15-5,15,20,54,44.2,33.9,27,15.1,13.7,29.6,29.4,66.9258,54.2,44.7,35.8,29.1,0,0,55.1,48.8,36.8,43.6,66.9258,,,,2026,,,,3.7471,76.5,
SMU,124.736,104.277,0.88697,15-5,15,20,55.7,50,34.9,32.6,15.9,18.1,35.6,32,68.4007,56.1,51.5,36.6,32.1,0,0,57.1,60.5,34.2,44.9,68.4007,,,,2026,,,,2.40127,76.9,
Richmond,111.372,109.037,0.560619,13-9,13,22,53.5,50.9,38,32.1,15,17.5,27.4,30,67.1597,50.5,53.5,38.7,31.9,0,0,54.6,45.5,40,46,67.1597,,,,2026,,,,-4.43695,75.3,
Providence,123.123,111.335,0.760851,9-12,9,21,54.9,51.8,37.3,32.9,15.5,14,31.6,32.3,72.0425,56.3,48.6,35.2,37.7,0,0,51,57.4,40.6,40.4,72.0425,,,,2026,,,,-4.02797,78,
Louisville,125.386,99.0315,0.937819,14-6,14,20,55.7,46.8,34.4,34.4,16.1,17.6,34.4,27.1,69.6195,59.3,44.4,35.2,33.5,0,0,60.8,49.2,54.3,41,69.6195,,,,2026,,,,1.89116,76.9,
Davidson,109.113,104.869,0.612107,12-8,12,20,52.7,51.7,33.1,34.9,16.8,18,29.2,31.1,63.7689,51.6,53.6,36.1,32.3,0,0,52,44.8,43.3,36.5,63.7689,,,,2026,,,,-3.14792,65.4,
"North Florida",110.955,127.329,0.170367,5-16,5,21,53.9,58.1,25.3,32.9,18.4,13.2,23.9,39.8,70.6081,53.9,61.4,35.9,35.4,0,0,52.6,53.3,53,39.6,70.6081,,,,2026,,,,-10.6455,79.3,
"Missouri St.",109.608,108.51,0.528927,12-8,12,20,50.2,51.3,46.8,39.6,17.7,17.4,32.4,32.6,64.2953,53,50.4,31,35.1,0,0,55,53.2,42.8,38.1,64.2953,,,,2026,,,,-4.62854,68,
Vanderbilt,125.736,95.1518,0.961028,18-3,18,21,57,46.9,36.9,40.6,13.1,18.6,30.1,27.7,70.2085,58.8,49.5,36.4,28.7,0,0,57.7,46.6,44.3,40.2,70.2085,,,,2026,,,,5.01222,77.3,
"Washington St.",114.266,111.241,0.576538,9-13,9,22,54.6,54.1,32.4,34.5,18.6,14.9,30.7,26.3,67.0997,55.8,52.7,35.4,37.4,0,0,47.7,50.7,44.7,40.2,67.0997,,,,2026,,,,-6.80664,73.3,
Akron,122.886,108.6,0.805524,17-4,17,21,59.8,51.6,28.5,32.3,15.3,18.5,35.4,31.4,70.6717,60.2,51.4,39.6,34.6,0,0,58.6,51.1,43.4,43,70.6717,,,,2026,,,,-0.311718,76.6,
"Bowling Green",109.924,106.243,0.596695,13-8,13,21,53.2,51.6,37.9,38.5,16.8,20.1,30.6,27.7,67.6088,53.7,52.6,34.8,33.5,0,0,50.7,54.1,34.3,43.1,67.6088,,,,2026,,,,-4.79319,72.8,
Memphis,105.621,98.9525,0.679185,9-10,9,19,49,47.8,32.7,38.1,20.4,19.4,35.5,35.6,68.7441,49.4,49.8,32.2,30.1,0,0,53.8,56.7,36.3,43.5,68.7441,,,,2026,,,,-3.50482,69,
"Central Arkansas",108.605,108.347,0.506857,11-10,11,21,52.6,54.5,30.4,29.5,16.3,18.2,28,27.6,67.5631,54.5,58.3,33.9,34.2,0,0,60,60.4,49.7,53.8,67.5631,,,,2026,,,,-5.41491,69.2,
"Murray St.",118.919,110.463,0.700212,16-5,16,21,55.6,49.7,39.5,32.4,16.3,16.2,34.6,31.8,72.1704,56.9,49,36,34.5,0,0,51.2,40,45.7,24,72.1704,,,,2026,,,,-0.637597,76,
American,105.956,109.653,0.402648,13-9,13,22,51.6,53.1,28.2,44.6,16.6,19.1,25,31.1,67.4513,52.9,53.8,33.4,34.7,0,0,50.1,50.5,45.1,36.5,67.4513,,,,2026,,,,-5.22807,77.3,
"Notre Dame",114.027,104.716,0.727028,11-10,11,21,52.2,49.8,33.9,34.3,17.2,14.2,33.1,25.4,64.9092,51.4,52,35.5,31.5,0,0,46.5,52.7,41.5,46.1,64.9092,,,,2026,,,,-2.094,69.9,
Creighton,117.466,105.525,0.774302,12-9,12,21,54.7,50.6,26.8,23.3,15.9,13.7,29.5,30.7,66.0001,57.3,50,34.7,34.5,0,0,58.4,48.9,48.7,31.7,66.0001,,,,2026,,,,-1.02763,75.5,
Duke,125.041,94.0878,0.963411,19-1,19,20,57.7,45.9,42.4,23.9,16.4,19.7,37.8,25.8,67.1613,62.7,45.1,34.4,31.2,0,0,59,53.3,45.3,44.9,67.1613,,,,2026,,,,7.5026,71.7,
"Indiana St.",106.284,109.554,0.413751,9-13,9,22,52.3,50,29.2,27.9,19,14.8,25,31.2,68.8385,57.9,51.1,30.4,31.9,0,0,65,41.6,46,34.2,68.8385,,,,2026,,,,-8.32952,69.8,
UCLA,119.176,102.149,0.854818,14-6,14,20,54.5,49,35.8,35.9,15,19.7,31.2,32.7,64.8323,53.5,52.5,37.6,29.7,0,0,57.5,59.1,35,44.4,64.8323,,,,2026,,,,1.16991,74.8,
Pacific,111.461,106.754,0.621578,14-8,14,22,52.8,49.6,34,36.9,20.8,15.8,36.3,24.5,64.4314,52.9,47.9,35.1,34.6,0,0,55.4,49.5,37,42,64.4314,,,,2026,,,,-2.9552,76.4,
"Texas A&M",121.535,99.753,0.906469,16-4,16,20,56.5,50.2,39.4,36,15.3,20.6,33.7,30.6,71.7435,57,51,37.3,32.7,0,0,65.1,57.4,47.7,41.3,71.7435,,,,2026,,,,1.78235,74.8,
"North Texas",100.006,100.255,0.492842,12-8,12,20,46.6,46.8,38.4,49.5,19,22,33.4,33.6,64.331,47.1,48.3,30.5,29.6,0,0,53.4,50,34.9,37.6,64.331,,,,2026,,,,-3.97152,70,
Nevada,118.285,104.406,0.807727,15-6,15,21,49.5,50.2,44.5,39.1,14,17.6,33.1,29,65.2423,45.6,50.1,38.6,33.5,0,0,57.7,57.3,31.8,42.7,65.2423,,,,2026,,,,0.168686,76.1,
UTSA,95.8888,117.317,0.0895278,4-16,4,20,42.9,53.4,30.5,33.8,18.8,15.6,30.1,38.2,68.3872,44.6,52,27.1,36.8,0,0,44.1,57.3,43.6,44.1,68.3872,,,,2026,,,,-11.5528,69.5,
"Mississippi Valley St.",88.0439,119.354,0.0293403,1-20,1,21,43.8,57.6,30.5,46.7,23,17,26.1,36.3,66.7708,44.3,57.8,28.6,38.3,0,0,52.2,64.4,30.7,45.7,66.7708,,,,2026,,,,-15.1153,72.4,
"Gardner Webb",95.0794,123.897,0.045456,3-19,3,22,45.9,58.1,31.7,34.8,20.8,14.1,24,36.7,70.3655,45.9,60.5,30.6,36.4,0,0,42,56.6,40.8,40.9,70.3655,,,,2026,,,,-14.0208,71,
"Prairie View A&M",100.728,116.53,0.157661,8-13,8,21,46.8,54,43.5,47.7,16.8,19.9,25.4,36.8,72.1056,45.9,53.2,32.7,37.1,0,0,44.5,52.7,30.6,35.9,72.1056,,,,2026,,,,-9.20821,75.9,
Chattanooga,104.008,114.835,0.242531,9-12,9,21,52.6,51.9,33.3,43.5,14.3,14.4,19.8,31.6,65.9267,52.7,52.4,35,34.2,0,0,58.5,54.8,50.5,41.9,65.9267,,,,2026,,,,-9.11249,77.9,
"Georgia Southern",109.075,115.645,0.337909,13-9,13,22,49.7,51.7,41.8,40.7,14,19.1,29.5,36.3,70.4065,52.3,53.1,31.2,33,0,0,40.2,44.5,47.2,39,70.4065,,,,2026,,,,-6.63501,71.1,
"Northern Arizona",104.659,117.735,0.205246,7-14,7,21,51.1,55.7,29.8,30.7,17.1,17.1,24.5,33.4,63.772,49.9,54.1,35.5,38.6,0,0,51,54,34.4,42,63.772,,,,2026,,,,-10.0734,67.1,
Nebraska,122.437,93.9327,0.954685,20-1,20,21,56.5,46.9,27.2,23.7,13.2,19.3,26.5,26.9,66.7518,60.1,48.6,35.4,30.2,0,0,64.5,59.1,51,49.7,66.7518,,,,2026,,,,7.13445,76.2,
Yale,122.163,109.316,0.782082,15-3,15,18,56.5,51.6,37.2,32.1,13.9,16.3,35.3,30.4,65.7534,53.4,52.7,41.4,33.6,0,0,55.1,49.1,34.8,46.5,65.7534,,,,2026,,,,0.328119,78.2,
"Tennessee Martin",100.573,108.847,0.287182,15-5,15,20,49.6,46.5,44.3,38.1,21.8,18.4,36.7,32.1,64.3136,51.7,48.6,31.3,29,0,0,53.2,54.2,45.1,40.8,64.3136,,,,2026,,,,-2.90567,67.9,
