team,off_eff,def_eff,tempo,off_eff_home,def_eff_home,off_eff_away,def_eff_away
Evansville,99.2256,108.444,0.264707,99.2256,108.444,99.2256,108.444
Saint Peter's,102.549,107.911,0.357549,102.549,107.911,102.549,107.911
Virginia,125.92,98.3279,0.945027,125.92,98.3279,125.92,98.3279
UCF,120.391,105.124,0.82627,120.391,105.124,120.391,105.124
Drexel,104.578,106.927,0.436499,104.578,106.927,104.578,106.927
Charleston Southern,104.71,110.243,0.35612,104.71,110.243,104.71,110.243
Northern Iowa,103.087,96.708,0.675816,103.087,96.708,103.087,96.708
South Carolina,114.198,104.029,0.745092,114.198,104.029,114.198,104.029
Lamar,105.647,109.923,0.38788,105.647,109.923,105.647,109.923
Kentucky,117.181,101.028,0.846277,117.181,101.028,117.181,101.028
Lafayette,101.983,116.296,0.180899,101.983,116.296,101.983,116.296
VCU,120.712,107.447,0.792276,120.712,107.447,120.712,107.447
Wisconsin,122.174,102.398,0.883988,122.174,102.398,122.174,102.398
Alabama,130.069,101.986,0.942525,130.069,101.986,130.069,101.986
Tennessee Tech,98.1636,117.917,0.108278,98.1636,117.917,98.1636,117.917
NJIT,97.4419,114.139,0.139573,97.4419,114.139,97.4419,114.139
North Alabama,100.722,120.102,0.116741,100.722,120.102,100.722,120.102
Alabama A&M,102.063,113.843,0.22164,102.063,113.843,102.063,113.843
Cal Baptist,108.143,103.475,0.624209,108.143,103.475,108.143,103.475
Dartmouth,106.735,111.908,0.367176,106.735,111.908,106.735,111.908
La Salle,105.978,108.826,0.424353,105.978,108.826,105.978,108.826
Tulsa,124.616,109.857,0.809943,124.616,109.857,124.616,109.857
Incarnate Word,104.972,112.832,0.303569,104.972,112.832,104.972,112.832
St. Thomas,112.787,107.609,0.631918,112.787,107.609,112.787,107.609
Grand Canyon,108.612,95.5925,0.81281,108.612,95.5925,108.612,95.5925
Michigan St.,119.2,91.5051,0.954379,119.2,91.5051,119.2,91.5051
Cal St. Fullerton,106.935,109.827,0.423877,106.935,109.827,106.935,109.827
Southeastern Louisiana,98.8298,107.489,0.2757,98.8298,107.489,98.8298,107.489
UC Riverside,103.322,113.777,0.248145,103.322,113.777,103.322,113.777
Clemson,117.117,94.7677,0.919461,117.117,94.7677,117.117,94.7677
Colorado,117.735,108.93,0.709681,117.735,108.93,117.735,108.93
Coastal Carolina,103.143,108.776,0.351693,103.143,108.776,103.143,108.776
North Carolina A&T,104.899,116.287,0.234116,104.899,116.287,104.899,116.287
Washington,116.46,101.311,0.83238,116.46,101.311,116.46,101.311
Colorado St.,120.186,111.348,0.70648,120.186,111.348,120.186,111.348
UMBC,106.166,114.274,0.300205,106.166,114.274,106.166,114.274
Louisiana Monroe,97.0545,120.516,0.0765697,97.0545,120.516,97.0545,120.516
The Citadel,99.483,121.008,0.0951373,99.483,121.008,99.483,121.008
Hofstra,115.972,111.371,0.614329,115.972,111.371,115.972,111.371
UMass Lowell,101.451,115.665,0.181253,101.451,115.665,101.451,115.665
South Alabama,104.542,109.17,0.377975,104.542,109.17,104.542,109.17
Butler,118.801,105.468,0.797218,118.801,105.468,118.801,105.468
SIU Edwardsville,99.5799,108.097,0.28013,99.5799,108.097,99.5799,108.097
